fid,station_id,station_x,station_y,gauge_id,gauge_name,n,distance,gauge_x,gauge_y
19,il_30145,255062,803083,241,KEFAR GILADI,1,9209,253526,794003
19,il_30145,255062,803083,202,KEFAR BLUM,2,16794,257563,786476
19,il_30145,255062,803083,10,MEROM GOLAN PICMAN,3,27885,273444,782114
20,il_30155,268268,784201,10,MEROM GOLAN PICMAN,1,5580,273444,782114
20,il_30155,268268,784201,202,KEFAR BLUM,2,10945,257563,786476
20,il_30155,268268,784201,241,KEFAR GILADI,3,17704,253526,794003
20,il_30155,268268,784201,227,GAMLA,4,27245,270307,757032
20,il_30155,268268,784201,62,ZEFAT HAR KENAAN,5,27934,247737,765259
21,il_30165,244413,773388,62,ZEFAT HAR KENAAN,1,8782,247737,765259
21,il_30165,244413,773388,123,AMMIAD,2,16486,250190,757947
21,il_30165,244413,773388,269,HARASHIM,3,17369,231009,762342
21,il_30165,244413,773388,202,KEFAR BLUM,4,18553,257563,786476
21,il_30165,244413,773388,233,KEFAR NAHUM,5,21591,254506,754301
22,il_30170,248433,769332,62,ZEFAT HAR KENAAN,1,4132,247737,765259
22,il_30170,248433,769332,123,AMMIAD,2,11520,250190,757947
22,il_30170,248433,769332,233,KEFAR NAHUM,3,16211,254506,754301
22,il_30170,248433,769332,269,HARASHIM,4,18774,231009,762342
22,il_30170,248433,769332,202,KEFAR BLUM,5,19424,257563,786476
23,il_30175,265116,798670,241,KEFAR GILADI,1,12495,253526,794003
23,il_30175,265116,798670,202,KEFAR BLUM,2,14344,257563,786476
23,il_30175,265116,798670,10,MEROM GOLAN PICMAN,3,18532,273444,782114
24,il_31110,244200,760885,62,ZEFAT HAR KENAAN,1,5625,247737,765259
24,il_31110,244200,760885,123,AMMIAD,2,6672,250190,757947
24,il_31110,244200,760885,233,KEFAR NAHUM,3,12230,254506,754301
24,il_31110,244200,760885,269,HARASHIM,4,13271,231009,762342
24,il_31110,244200,760885,205,ESHHAR,5,17228,228304,754243
25,il_31115,238571,755223,205,ESHHAR,1,10314,228304,754243
25,il_31115,238571,755223,269,HARASHIM,2,10386,231009,762342
25,il_31115,238571,755223,123,AMMIAD,3,11934,250190,757947
25,il_31115,238571,755223,62,ZEFAT HAR KENAAN,4,13592,247737,765259
25,il_31115,238571,755223,233,KEFAR NAHUM,5,15961,254506,754301
26,il_31155,269333,769415,227,GAMLA,1,12421,270307,757032
26,il_31155,269333,769415,10,MEROM GOLAN PICMAN,2,13348,273444,782114
26,il_31155,269333,769415,6,BET ZAYDA,3,17227,261432,754106
26,il_31155,269333,769415,202,KEFAR BLUM,4,20727,257563,786476
26,il_31155,269333,769415,233,KEFAR NAHUM,5,21172,254506,754301
27,il_31160,273016,765594,227,GAMLA,1,8980,270307,757032
27,il_31160,273016,765594,6,BET ZAYDA,2,16314,261432,754106
27,il_31160,273016,765594,10,MEROM GOLAN PICMAN,3,16526,273444,782114
27,il_31160,273016,765594,2,AVNE ETAN,4,18578,271763,747058
27,il_31160,273016,765594,233,KEFAR NAHUM,5,21683,254506,754301
28,il_31163,272783,759839,227,GAMLA,1,3743,270307,757032
28,il_31163,272783,759839,6,BET ZAYDA,2,12717,261432,754106
28,il_31163,272783,759839,2,AVNE ETAN,3,12821,271763,747058
28,il_31163,272783,759839,233,KEFAR NAHUM,4,19098,254506,754301
28,il_31163,272783,759839,10,MEROM GOLAN PICMAN,5,22285,273444,782114
29,il_31165,270678,750535,2,AVNE ETAN,1,3642,271763,747058
29,il_31165,270678,750535,227,GAMLA,2,6508,270307,757032
29,il_31165,270678,750535,6,BET ZAYDA,3,9912,261432,754106
29,il_31165,270678,750535,233,KEFAR NAHUM,4,16605,254506,754301
29,il_31165,270678,750535,123,AMMIAD,5,21787,250190,757947
30,il_31198,262450,779598,202,KEFAR BLUM,1,8437,257563,786476
30,il_31198,262450,779598,10,MEROM GOLAN PICMAN,2,11278,273444,782114
30,il_31198,262450,779598,241,KEFAR GILADI,3,16945,253526,794003
30,il_31198,262450,779598,62,ZEFAT HAR KENAAN,4,20545,247737,765259
30,il_31198,262450,779598,227,GAMLA,5,23895,270307,757032
31,il_34160,273546,758191,227,GAMLA,1,3440,270307,757032
31,il_34160,273546,758191,2,AVNE ETAN,2,11275,271763,747058
31,il_34160,273546,758191,6,BET ZAYDA,3,12784,261432,754106
31,il_34160,273546,758191,233,KEFAR NAHUM,4,19434,254506,754301
31,il_34160,273546,758191,123,AMMIAD,5,23358,250190,757947
32,il_18115,213429,631282,22,JERUSALEM GIVAT RAM,1,5334,218751,630925
32,il_18115,213429,631282,23,JERUSALEM CENTRE,2,7727,221119,632034
32,il_18115,213429,631282,77,ROSH ZURIM,3,12214,211827,619174
32,il_18115,213429,631282,218,MAALE ADUMMIM,4,14701,228129,631150
32,il_18115,213429,631282,24,HAR HARASHA,5,17630,214308,648890
33,il_18125,197933,633681,259,NAHSHON,1,4520,196411,637937
33,il_18125,197933,633681,25,NETIV HALAMED HE,2,12503,198459,621189
33,il_18125,197933,633681,121,HAFEZ HAYYIM,3,16403,181532,633434
33,il_18125,197933,633681,77,ROSH ZURIM,4,20087,211827,619174
33,il_18125,197933,633681,22,JERUSALEM GIVAT RAM,5,21000,218751,630925
34,il_18131,207100,631785,22,JERUSALEM GIVAT RAM,1,11682,218751,630925
34,il_18131,207100,631785,259,NAHSHON,2,12333,196411,637937
34,il_18131,207100,631785,77,ROSH ZURIM,3,13468,211827,619174
34,il_18131,207100,631785,25,NETIV HALAMED HE,4,13673,198459,621189
34,il_18131,207100,631785,23,JERUSALEM CENTRE,5,14021,221119,632034
35,il_18150,199305,633507,259,NAHSHON,1,5291,196411,637937
35,il_18150,199305,633507,25,NETIV HALAMED HE,2,12347,198459,621189
35,il_18150,199305,633507,121,HAFEZ HAYYIM,3,17773,181532,633434
35,il_18150,199305,633507,77,ROSH ZURIM,4,19033,211827,619174
