run_title,basin,learning_rate,seq_length,hidden_size,batch_size,epoch,autoregressive_inputs,dynamic_inputs,RMSE,NSE,Peak-Timing,normalization,comments,folder_path,basin_name
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_14120,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",4.8,0.747,12.1
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_15120,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",1.85,0.887,28.9
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_19160,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0219,-2.01,5
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_2105,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.283,0.737,25.5
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_30170,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.13,0.455,21.2
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_4110,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0662,0.822,17.2
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_8146,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",1.06,0.838,11.5
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2812_233440,il_8155,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.19,0.923,23.2
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_033901,il_14120,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",4.56,0.772,7.71
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_033901,il_15120,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",2.1,0.856,23.1
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_033901,il_19160,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.0202,-1.56,16
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_033901,il_2105,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.277,0.747,0
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_033901,il_30170,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.119,0.54,14
Best_HPC_training_zscore_norm_ensemble_hidden_size256_batch_size512_learning_rate0001_2912_033901,il_4110,{0: 0.001},36,256,512,15,['Flow_m3_sec_zscore_norm_shift18'],"['Rain_gauge_1_zscore_norm', 'Rain_gauge_2_zscore_norm', 'Rain_gauge_3_zscore_norm']",0.073,0.784,17.9
