,il_14120 - HADERA - GAN SHEMU'EL,il_15120 - ALEXANDER - ELYASHIV,il_19160 - HAELA - TEL ZAFIT,il_2105 - KEZIV - HAZIV BRIDGE,il_30170 - HAZOR - AYYELET HASHAHAR,il_4110 - GA'TON - BEN 'AMMI,il_8146 - QISHON - THE QUARRY,il_8155 - ZIPPORI - TEL ALIL
Reference,"NSE: 0.78, RMSE: 4.46","NSE: 0.86, RMSE: 2.07","NSE: 0.36, RMSE: 0.01","NSE: 0.73, RMSE: 0.28","NSE: 0.52, RMSE: 0.12","NSE: 0.85, RMSE: 0.06","NSE: 0.74, RMSE: 1.34","NSE: 0.93, RMSE: 0.18"
"Ensemble mean (min, max)","NSE: 0.74 (0.65, 0.77), RMSE: 4.86 (4.56, 5.66)","NSE: 0.89 (0.86, 0.91), RMSE: 1.86 (1.65, 2.10)","NSE: -2.79 (-4.24, -1.56), RMSE: 0.02 (0.02, 0.03)","NSE: 0.75 (0.74, 0.76), RMSE: 0.28 (0.27, 0.28)","NSE: 0.49 (0.36, 0.59), RMSE: 0.13 (0.11, 0.14)","NSE: 0.79 (0.76, 0.83), RMSE: 0.07 (0.07, 0.08)","NSE: 0.86 (0.84, 0.88), RMSE: 0.99 (0.92, 1.06)","NSE: 0.93 (0.91, 0.95), RMSE: 0.18 (0.16, 0.21)"
