hidden_size,batch_size,learning_rate,step,train_loss,valid_loss,valid_nse,file_name,normalization,seq_length
128,512,0.001,6,0.068364218,0.017744066,-0.837187052,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate0001_2712_180658,training_zscore,36
128,512,0.001,7,0.062453609,0.015396332,-0.740451336,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate0001_2712_180658,training_zscore,36
128,512,0.001,8,0.054808594,0.015495225,-0.789223373,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate0001_2712_180658,training_zscore,36
128,512,0.001,9,0.048093975,0.015500885,-0.740417898,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate0001_2712_180658,training_zscore,36
128,512,0.001,10,0.045194581,0.015300479,-0.743278384,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate0001_2712_180658,training_zscore,36
128,512,0.001,11,0.039264023,0.015471436,-0.748191476,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate0001_2712_180658,training_zscore,36
128,512,0.001,12,0.036842514,0.016574774,-0.732458949,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate0001_2712_180658,training_zscore,36
128,512,0.001,13,0.034250136,0.016283106,-0.74507165,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate0001_2712_180658,training_zscore,36
128,512,0.001,14,0.032259107,0.016829316,-0.873071373,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate0001_2712_180658,training_zscore,36
128,512,0.001,15,0.031530194,0.023369817,-1.711699128,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate0001_2712_180658,training_zscore,36
128,512,0.01,1,0.14715682,0.020032918,-0.814991236,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate001_2712_193851,training_zscore,36
128,512,0.01,2,0.129186705,0.015969094,-0.790812969,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate001_2712_193851,training_zscore,36
128,512,0.01,3,0.129553124,0.016867645,-0.790535808,HPC_training_zscore_norm_hidden_size128_batch_size512_learning_rate001_2712_193851,training_zscore,36
